category1,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Salt flat,Urban Infrastructure,Wetland
Agriculture,0.0,0.0,413.0,0.0,0.0,637.0,0.0,0.0,8211.0,1.0,0.0,0.0,0.0
Beach and Dune,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0
Forest Plantation,,,1841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grassland,,,,17.0,0.0,0.0,24.0,24.0,70.0,60968.0,906.0,0.0,0.0
Mining,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mosaic of Agriculture and Pasture,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Natural Forest,,,,,,,118.0,118.0,158.0,233004.0,65.0,0.0,0.0
Non Observed,,,,,,,,0.0,0.0,18.0,2.0,0.0,0.0
Other Non Vegetated Area,,,,,,,,,87.0,87.0,0.0,0.0,0.0
Pasture,,,,,,,,,,22776.0,15.0,0.0,0.0
"River, Lake and Ocean",,,,,,,,,,,60.0,0.0,0.0
Salt flat,,,,,,,,,,,,0.0,0.0
Urban Infrastructure,,,,,,,,,,,,,0.0
