,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,750069.3352415812,0.0,0.08922688599999999,0.0,0.438816809,,1.150228071,0.5324603640000001,0.0,,0.0,2.464256311,0.0,0.08782263800000001,0.0,7.428324353000001
Aquaculture,0.0,22158.2625162,0.356261945,,0.356681677,,0.178142401,0.44556909199999994,0.1781013,,1.8703837280000002,0.0,3.206167658,0.0,9.179427588000001,0.0
Beach and Dune,0.714108752,0.08904928,104109.79525,,5.174835718,,180.831844886,25.886724287,17.309166791,,30.48915621,2.493187592,2.318021142,0.178465808,0.8919174920000001,4.9009638120000005
Forest Plantation,0.0,,,1543.0127885000002,0.0,,0.17512629999999998,0.08610754400000001,,,0.0,0.087568799,0.0,0.0,,
Grassland,0.0,26.605646258,8.295181879,0.0,3471906.5792202,0.352456964,87533.89891850398,22230.058710065998,0.357176141,,795.7177468840001,27127.625868002997,733.7807828719999,3582.7706809180004,11.959417023,32.834244807
Mining,0.0,,,,0.0,3390.47042031,0.529819183,0.087926935,,,0.0,0.0,0.0,0.0,,0.0
Mosaic of Agriculture and Pasture,1.235351032,0.534480298,207.04411139400003,0.6115022830000001,22313.807440909004,0.352982025,9931090.59052,198756.84708075004,0.357070947,0.0,1581.2324455120001,320651.41881400003,1787.66859511,3868.6208729389996,1.247875244,4359.68169811
Natural Forest,1.061616571,3.9212742,65.578012821,3.2212528009999994,56168.07232445201,0.7930294070000001,319114.975055682,55783041.298026085,1.064507117,,2306.6012112800004,308775.0305227009,3851.1164441650008,11810.006775925,4.546234613,291.60038484100005
Non Observed,0.0,12.91248555,16.141252014,,2.231566937,,0.5356507079999999,0.26771899400000004,12452.731136012,,1.782599958,1.6694043940000003,3.4756754020000002,0.0,3.0317343680000004,3.8314554079999996
Other Non Forest Natural Formation,,,,,,,0.0,,,0.08898602300000001,,,,,,
Other Non Vegetated Area,0.0,0.267196002,24.26549544,0.0,350.882411542,0.0,5103.4693707199995,702.7937178830001,3.3017190000000003,,155103.851623829,25431.220463237,109.84143854999999,339.45932477100007,0.535026599,318.81227654400004
Pasture,1.143969061,0.0,3.294790753,20.92934637,2869.702797287,0.088118799,110174.82651199997,37954.220898068,0.526898785,,369.245317126,13314485.6773,191.979556583,2867.858657062,0.08906793800000001,1026.256161241
"River, Lake and Ocean",0.0,30.933371431,4.0999120719999995,0.0,8029.908667889999,0.0,40151.740837800004,25370.164392773,4.725026043,,4477.3449993839995,13827.455927758,750246.939861804,563.84711995,1.158056952,14.626969324
Rocky outcrop,0.087866327,0.0,0.0,0.0,4886.755121282001,0.0,11761.955807285,15649.765107502,0.0,,134.56171558300002,27375.947526407006,86.15907333499999,129637.243401232,0.089261328,14.402020366
Salt flat,0.0,0.178431573,0.178468152,,6.597565685999999,,0.534289978,2.140257483,0.35689027100000004,,0.534390082,0.0,0.979529456,0.0,17463.403448999998,0.0
Urban Infrastructure,0.0,0.0,4.097794586,,0.08861834099999999,0.0,1.059650793,0.44597180699999994,0.0,,0.08845631699999999,0.263688672,0.08921439199999999,0.0,0.08920929,74578.94032329999
