,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,7226147.407242665,0.0,945.159393563,19792.319316603993,0.950343012,0.7489921390000001,14219.700645087998,0.0,,10843.767997882002,144584.012735203,57.77766887000001,,0.0,1416.477529117,0.0
Beach and Dune,0.0,96269.2767785,,0.446570264,,,1.071813831,0.893051385,,59.83763387,1.33961991,28.40107054,,0.267940637,0.0,
Forest Plantation,237.88162042200003,,961146.2110688961,865.221736664,0.0,0.0,27444.513645078005,,,112.931757708,5351.080009627999,0.0,,,1.075347797,0.0
Grassland,159970.39473840798,1.875543823,410.57919457,19142136.252933,28.075817338,0.0,39044.652822299,0.165961737,,11672.329804864998,39407.925359759996,730.7365874940001,,8.037983118,369.75079724599993,0.171979285
Mining,0.429953235,,0.0,6.914772436000001,9684.459193539999,,16.345814564,,,1.452056867,9.121964526000001,0.0,,,0.084057086,
Mosaic of Agriculture and Pasture,1.409083557,,0.0,0.0,,146.023517543,0.24780728200000002,,0.0,0.083151019,0.9152344729999999,0.0,0.0,,0.0,0.0
Natural Forest,245882.841439076,13.396433828,20763.551615509,15327.557561481994,114.51657754499999,1.088569928,113174973.1065857,1.7279227,0.0,19958.404097473,1040267.8283017569,2544.3790929229995,0.0,7.143914636999999,529.717115875,0.0
Non Observed,0.0,3.2152991089999996,,0.0,,,0.9247982119999999,16.989024537000002,,0.5358035520000001,0.337935565,0.510264246,,0.535796185,0.24813162800000002,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.498536169,,0.0,,,,,
Other Non Vegetated Area,13046.358141157001,65.64319853,226.94221090899998,7999.790422163,10.934083313,0.08424989,5439.115617232999,1.0716817440000002,,400589.5358585201,39308.441740361006,480.39359348700003,,1.6967824040000001,2847.199807283,
Pasture,377258.426727696,24.47037709,3915.412838766,63332.87178879999,414.25822621599997,1.672289564,237079.02576700103,0.9181922790000001,0.0,13851.087728427001,53622749.74956,436.270948019,,0.0,5634.956325037,0.0
"River, Lake and Ocean",29.850106003,366.53779160000005,0.08636568,183.516910355,0.347949646,0.0,943.980279594,2.1307300660000004,,747.9675667280002,289.430350905,957907.9423954702,,20.988975465,12.684387999,
Rocky outcrop,,,,,,,0.0,,,,,,0.767090692,,,
Salt flat,0.0,0.5358710879999999,,4.912026831,,,7.322824128,0.17859957899999998,,2.500412146,0.178595227,45.63746193,,7618.356362091,0.0,
Urban Infrastructure,0.24736221399999997,0.0,0.0,0.167770745,0.086202167,,0.34625522999999997,,,0.603025165,1.5414968569999998,0.0,,0.0,260107.26522109995,
Wetland,,,,0.252218805,,0.0,0.0,,,,0.0,0.0,,,,5.466546307
